date;exits;year;month;day;weekday;in_sample;exits_yesterday;exits_last_week;daily_roll;daily_ewma_fast;daily_ewma_slow;weekday_roll;weekday_ewma_fast;weekday_ewma_slow
2013-08-13;30218.0;2013;8;13;1;False;30016.0;42085.0;29418.55;29173.38250646396;25009.577318610343;45480.0;42367.001899972594;43541.24682813897
2013-08-14;32267.0;2013;8;14;2;False;30218.0;41686.0;30663.95;30168.256309831617;27613.788659305173;46016.25;42007.03829146476;43733.30345652884
2013-08-15;31546.0;2013;8;15;3;False;32267.0;41672.0;32527.25;32167.059824277694;29940.394329652587;45142.25;41899.33943291746;42619.61049327872
2013-08-16;29906.0;2013;8;16;4;False;31546.0;38683.0;31655.05;31575.574277346557;30743.19716482629;42990.75;39024.08790017915;40885.91513028685
2013-08-17;22801.0;2013;8;17;5;False;29906.0;16309.5;30437.15;29985.503537016502;30324.598582413146;18025.375;16383.501686502545;16934.13405542754
2013-08-18;15936.0;2013;8;18;6;False;22801.0;12068.0;28548.65;23143.119216048406;26562.799291206575;13523.75;12143.007897709349;12636.892530639801
2013-08-19;42242.0;2013;8;19;0;False;15936.0;30016.0;25975.05;16279.196153145163;21249.399645603287;41143.5;30516.86102523085;35874.4945503846
2013-08-20;45005.0;2013;8;20;1;False;42242.0;30218.0;26330.95;41005.676007292626;31745.699822801645;42724.25;30796.523899998698;36879.62341406949
2013-08-21;45492.0;2013;8;21;2;False;45005.0;32267.0;29200.5;44814.556000347264;38375.34991140082;43749.75;32730.811347212606;38000.15172826442
2013-08-22;44363.0;2013;8;22;3;False;45492.0;31546.0;32542.9;45459.7407619213;41933.67495570041;42804.0;32039.01616347226;37082.80524663936
2013-08-23;42231.0;2013;8;23;4;False;44363.0;29906.0;33977.6;44415.22575056768;43148.337477850204;40881.75;30340.194661913294;35395.95756514343
2013-08-24;20081.0;2013;8;24;5;False;42231.0;22801.0;35178.9;42335.01075002703;42689.6687389251;19208.25;22495.404842214408;19867.56702771377
2013-08-25;14729.0;2013;8;25;6;False;20081.0;15936.0;33960.3;21140.714797620338;31385.33436946255;13859.5;15755.38132846235;14286.4462653199
2013-08-26;33990.0;2013;8;26;0;False;14729.0;42242.0;32278.6;15034.319752267636;23057.167184731275;39566.75;41683.660048820515;39058.247275192305
2013-08-27;35110.0;2013;8;27;1;False;33990.0;45005.0;32687.0;33087.34855963179;28523.583592365638;41301.25;44328.40589999993;40942.31170703474
2013-08-28;35273.0;2013;8;28;2;False;35110.0;45492.0;33917.9;35013.68326474437;31816.79179618282;41920.75;44884.32434986727;41746.07586413221
